line,trip,hour,num_val,output_escalator_count,output_doors_count,output_turnstile_count,input_turnstile_total_bandwidth,input_turnstile_count,input_doors_count,entry_id,year,month,day,cluster
СОКОЛЬНИЧЕСКАЯ,Красные ворота - Красные ворота,21.0,376.0,0.0,4.0,0.0,6.0,6.0,6.0,1.0,2023,8,18,0
ММТС,ВВЦ - ВВЦ,7.0,14.0,,,,,,,,2023,6,20,2
ЗАМОСКВОРЕЦКАЯ,Автозаводская - Автозаводская,14.0,784.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,6,6,0
ЛЮБЛИНСКАЯ,Борисово - Борисово,20.0,135.0,0.0,4.0,6.0,9.0,9.0,4.0,12.0,2023,4,9,1
МЦК,Кутузовская МЦК - Кутузовская МЦК,0.0,71.0,,,,,,,,2023,3,28,2
ТАГАНСК-КРАСНОПР,Улица 1905 года - Улица 1905 года,14.0,896.0,0.0,4.0,0.0,9.0,9.0,4.0,12.0,2023,2,23,1
СОЛНЦЕВСКАЯ ЛИН.,Раменки - Раменки,13.0,580.0,,,,,,,,2023,5,24,0
ЗАМОСКВОРЕЦКАЯ,Орехово - Орехово,12.0,274.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,7,19,0
АРБАТСК-ПОКРОВСК,Молодёжная - Молодёжная,7.0,1367.0,0.0,4.0,5.0,7.0,7.0,4.0,4.0,2023,6,29,0
СОКОЛЬНИЧЕСКАЯ,Черкизовская - Черкизовская,14.0,835.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,7,28,0
БКЛ,Новаторская - Новаторская,13.0,460.0,,,,,,,,2023,1,15,0
ЗАМОСКВОРЕЦКАЯ,Царицыно - Царицыно,23.0,66.0,2.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,5,10,0
ФИЛЁВСКАЯ,Кутузовская - Кутузовская,14.0,369.0,,,,,,,,2023,4,11,0
